using falsepos method
 iter [    lower,     upper]      root        err  err(est)
    1 [1.0000000, 2.5000000] 1.0000000 -1.2360680 1.5000000
    2 [2.1428571, 2.5000000] 2.1428571 -0.0932108 0.3571429
    3 [2.2307692, 2.3214286] 2.2307692 -0.0052987 0.0906593
    4 [2.2359686, 2.2760989] 2.2359686 -0.0000994 0.0401303
    5 [2.2360671, 2.2560338] 2.2360671 -0.0000009 0.0199667
    6 [2.2360680, 2.2460504] 2.2360680 -0.0000000 0.0099825
    7 [2.2360680, 2.2410592] 2.2360680 -0.0000000 0.0049912
    8 [2.2360680, 2.2385636] 2.2360680 -0.0000000 0.0024956
Converged:
    9 [2.2360680, 2.2360680] 2.2360680 +0.0000000 0.0000000
